"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "2", "SYSTEM", "Thread Start", " main (1)"
"main", "3", "SYSTEM", "Type Load", " class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", " class=Dining.DiningProgrammers"
"main", "5", "Dining/DiningProgrammers.java:9", "Method Call", " caller=SYSTEM, target=Dining.DiningProgrammers#main:1"
"main", "6", "Dining/DiningProgrammers.java:7", "Method Entered", " "
"main", "7", "SYSTEM", "Type Load", " class=java.lang.String"
"main", "8", "Dining/DiningProgrammers.java:7", "New Object", " object=java.lang.String[]:1"
"main", "9", "Dining/DiningProgrammers.java:7", "Variable Write", " context=Dining.DiningProgrammers#main:1, args=java.lang.String[]:1"
"main", "10", "Dining/DiningProgrammers.java:9", "Line Step", " file=Dining/DiningProgrammers.java, line=9"
"main", "11", "SYSTEM", "Type Load", " class=Dining.Forks"
"main", "12", "Dining/DiningProgrammers.java:9", "New Object", " object=Dining.Forks:1"
"main", "13", "Dining/DiningProgrammers.java:9", "Method Call", " caller=Dining.DiningProgrammers#main:1, target=Dining.Forks:1#Forks:1"
"main", "14", "Dining/DiningProgrammers.java:53", "Method Entered", " "
"main", "15", "Dining/DiningProgrammers.java:51", "Line Step", " file=Dining/DiningProgrammers.java, line=51"
"main", "16", "Dining/DiningProgrammers.java:53", "Line Step", " file=Dining/DiningProgrammers.java, line=53"
"main", "17", "Dining/DiningProgrammers.java:53", "Field Write", " context=Dining.Forks:1, n=5"
"main", "18", "Dining/DiningProgrammers.java:51", "Line Step", " file=Dining/DiningProgrammers.java, line=51"
"main", "19", "Dining/DiningProgrammers.java:51", "Method Exit", " returner=Dining.Forks:1#Forks:1, value=<void>"
"main", "20", "Dining/DiningProgrammers.java:9", "Method Returned", " "
"main", "21", "Dining/DiningProgrammers.java:9", "Line Step", " file=Dining/DiningProgrammers.java, line=9"
"main", "22", "Dining/DiningProgrammers.java:9", "Variable Write", " context=Dining.DiningProgrammers#main:1, fs=Dining.Forks:1"
"main", "23", "Dining/DiningProgrammers.java:11", "Line Step", " file=Dining/DiningProgrammers.java, line=11"
"main", "24", "SYSTEM", "Type Load", " class=Dining.State"
"main", "25", "SYSTEM", "Type Load", " class=Dining.Programmer"
"main", "26", "Dining/DiningProgrammers.java:11", "New Object", " object=Dining.Programmer:1"
"main", "27", "Dining/DiningProgrammers.java:11", "Method Call", " caller=Dining.DiningProgrammers#main:1, target=Dining.Programmer:1#Dining.Programmer:1"
"main", "28", "Dining/DiningProgrammers.java:28", "Method Entered", " "
"main", "29", "Dining/DiningProgrammers.java:28", "Variable Write", " context=Dining.Programmer:1#Dining.Programmer:1, name=""Asif"""
"main", "30", "Dining/DiningProgrammers.java:28", "Variable Write", " context=Dining.Programmer:1#Dining.Programmer:1, fs=Dining.Forks:1"
"main", "31", "Dining/DiningProgrammers.java:28", "Line Step", " file=Dining/DiningProgrammers.java, line=28"
"main", "32", "Dining/DiningProgrammers.java:28", "Method Call", " caller=Dining.Programmer:1#Dining.Programmer:1, target=Dining.State:1#State:1"
"main", "33", "Dining/DiningProgrammers.java:81", "Method Entered", " "
"main", "34", "Dining/DiningProgrammers.java:81", "Line Step", " file=Dining/DiningProgrammers.java, line=81"
"main", "35", "Dining/DiningProgrammers.java:81", "Method Exit", " returner=Dining.State:1#State:1, value=<void>"
"main", "36", "Dining/DiningProgrammers.java:28", "Method Returned", " "
"main", "37", "Dining/DiningProgrammers.java:29", "Line Step", " file=Dining/DiningProgrammers.java, line=29"
"main", "38", "Dining/DiningProgrammers.java:29", "Field Write", " context=Dining.State:1, name=""Asif"""
"main", "39", "Dining/DiningProgrammers.java:30", "Line Step", " file=Dining/DiningProgrammers.java, line=30"
"main", "40", "Dining/DiningProgrammers.java:30", "Field Write", " context=Dining.State:1, count=0"
"main", "41", "Dining/DiningProgrammers.java:31", "Line Step", " file=Dining/DiningProgrammers.java, line=31"
"main", "42", "Dining/DiningProgrammers.java:31", "Field Write", " context=Dining.Programmer:1, fs=Dining.Forks:1"
"main", "43", "Dining/DiningProgrammers.java:32", "Line Step", " file=Dining/DiningProgrammers.java, line=32"
"main", "44", "Dining/DiningProgrammers.java:32", "Method Exit", " returner=Dining.Programmer:1#Dining.Programmer:1, value=<void>"
"main", "45", "Dining/DiningProgrammers.java:11", "Method Returned", " "
"main", "46", "Dining/DiningProgrammers.java:11", "Line Step", " file=Dining/DiningProgrammers.java, line=11"
"main", "47", "Dining/DiningProgrammers.java:11", "Variable Write", " context=Dining.DiningProgrammers#main:1, p1=Dining.Programmer:1"
"main", "48", "Dining/DiningProgrammers.java:12", "Line Step", " file=Dining/DiningProgrammers.java, line=12"
"main", "49", "Dining/DiningProgrammers.java:12", "New Object", " object=Dining.Programmer:2"
"main", "50", "Dining/DiningProgrammers.java:12", "Method Call", " caller=Dining.DiningProgrammers#main:1, target=Dining.Programmer:2#Dining.Programmer:2"
"main", "51", "Dining/DiningProgrammers.java:28", "Method Entered", " "
"main", "52", "Dining/DiningProgrammers.java:28", "Variable Write", " context=Dining.Programmer:2#Dining.Programmer:2, name=""Julia"""
"main", "53", "Dining/DiningProgrammers.java:28", "Variable Write", " context=Dining.Programmer:2#Dining.Programmer:2, fs=Dining.Forks:1"
"main", "54", "Dining/DiningProgrammers.java:28", "Line Step", " file=Dining/DiningProgrammers.java, line=28"
"main", "55", "Dining/DiningProgrammers.java:28", "Method Call", " caller=Dining.Programmer:2#Dining.Programmer:2, target=Dining.State:2#State:2"
"main", "56", "Dining/DiningProgrammers.java:81", "Method Entered", " "
"main", "57", "Dining/DiningProgrammers.java:81", "Line Step", " file=Dining/DiningProgrammers.java, line=81"
"main", "58", "Dining/DiningProgrammers.java:81", "Method Exit", " returner=Dining.State:2#State:2, value=<void>"
"main", "59", "Dining/DiningProgrammers.java:28", "Method Returned", " "
"main", "60", "Dining/DiningProgrammers.java:29", "Line Step", " file=Dining/DiningProgrammers.java, line=29"
"main", "61", "Dining/DiningProgrammers.java:29", "Field Write", " context=Dining.State:2, name=""Julia"""
"main", "62", "Dining/DiningProgrammers.java:30", "Line Step", " file=Dining/DiningProgrammers.java, line=30"
"main", "63", "Dining/DiningProgrammers.java:30", "Field Write", " context=Dining.State:2, count=0"
"main", "64", "Dining/DiningProgrammers.java:31", "Line Step", " file=Dining/DiningProgrammers.java, line=31"
"main", "65", "Dining/DiningProgrammers.java:31", "Field Write", " context=Dining.Programmer:2, fs=Dining.Forks:1"
"main", "66", "Dining/DiningProgrammers.java:32", "Line Step", " file=Dining/DiningProgrammers.java, line=32"
"main", "67", "Dining/DiningProgrammers.java:32", "Method Exit", " returner=Dining.Programmer:2#Dining.Programmer:2, value=<void>"
"main", "68", "Dining/DiningProgrammers.java:12", "Method Returned", " "
"main", "69", "Dining/DiningProgrammers.java:12", "Line Step", " file=Dining/DiningProgrammers.java, line=12"
"main", "70", "Dining/DiningProgrammers.java:12", "Variable Write", " context=Dining.DiningProgrammers#main:1, p2=Dining.Programmer:2"
"main", "71", "Dining/DiningProgrammers.java:13", "Line Step", " file=Dining/DiningProgrammers.java, line=13"
"main", "72", "Dining/DiningProgrammers.java:13", "New Object", " object=Dining.Programmer:3"
"main", "73", "Dining/DiningProgrammers.java:13", "Method Call", " caller=Dining.DiningProgrammers#main:1, target=Dining.Programmer:3#Dining.Programmer:3"
"main", "74", "Dining/DiningProgrammers.java:28", "Method Entered", " "
"main", "75", "Dining/DiningProgrammers.java:28", "Variable Write", " context=Dining.Programmer:3#Dining.Programmer:3, name=""Nick"""
"main", "76", "Dining/DiningProgrammers.java:28", "Variable Write", " context=Dining.Programmer:3#Dining.Programmer:3, fs=Dining.Forks:1"
"main", "77", "Dining/DiningProgrammers.java:28", "Line Step", " file=Dining/DiningProgrammers.java, line=28"
"main", "78", "Dining/DiningProgrammers.java:28", "Method Call", " caller=Dining.Programmer:3#Dining.Programmer:3, target=Dining.State:3#State:3"
"main", "79", "Dining/DiningProgrammers.java:81", "Method Entered", " "
"main", "80", "Dining/DiningProgrammers.java:81", "Line Step", " file=Dining/DiningProgrammers.java, line=81"
"main", "81", "Dining/DiningProgrammers.java:81", "Method Exit", " returner=Dining.State:3#State:3, value=<void>"
"main", "82", "Dining/DiningProgrammers.java:28", "Method Returned", " "
"main", "83", "Dining/DiningProgrammers.java:29", "Line Step", " file=Dining/DiningProgrammers.java, line=29"
"main", "84", "Dining/DiningProgrammers.java:29", "Field Write", " context=Dining.State:3, name=""Nick"""
"main", "85", "Dining/DiningProgrammers.java:30", "Line Step", " file=Dining/DiningProgrammers.java, line=30"
"main", "86", "Dining/DiningProgrammers.java:30", "Field Write", " context=Dining.State:3, count=0"
"main", "87", "Dining/DiningProgrammers.java:31", "Line Step", " file=Dining/DiningProgrammers.java, line=31"
"main", "88", "Dining/DiningProgrammers.java:31", "Field Write", " context=Dining.Programmer:3, fs=Dining.Forks:1"
"main", "89", "Dining/DiningProgrammers.java:32", "Line Step", " file=Dining/DiningProgrammers.java, line=32"
"main", "90", "Dining/DiningProgrammers.java:32", "Method Exit", " returner=Dining.Programmer:3#Dining.Programmer:3, value=<void>"
